Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,Atmospheric temp.:,20.0 °C
,Ext. optics temp.:,20.0 °C
,Ext. optics trans.:,1.0 
,Relative humidity:,0.0 %
,
Bx1

Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,
,74.683,74.721,74.721,74.721,74.721,74.828,74.789,74.750,74.789,74.828,74.828,74.828,74.828,74.828,74.828,74.828,74.828,74.779,74.712,74.750,74.683,74.683,74.683,74.576,74.518,74.411,74.334
,74.605,74.566,74.702,74.702,74.702,74.702,74.702,74.702,74.702,74.702,74.702,74.702,74.702,74.615,74.537,74.673,74.595,74.595,74.586,74.518,74.508,74.431,74.324,74.237,74.149,73.955,73.867
,74.217,74.305,74.431,74.566,74.595,74.518,74.547,74.576,74.499,74.411,74.324,74.353,74.246,74.149,74.120,74.198,74.130,74.052,74.052,73.877,73.770,73.779,73.789,73.701,73.614,73.418,72.674
,73.037,73.653,73.974,74.120,74.149,74.081,74.032,74.062,74.062,73.955,73.779,73.701,73.594,73.194,73.017,73.037,72.811,72.566,72.291,71.738,71.164,70.856,71.025,71.332,71.432,70.687,68.256,

Frame 8,71.699,72.300,72.890,73.252,73.604,73.731,74.062,74.198,74.198,74.305,74.508,74.586,74.586,74.692,74.799,74.799,74.799,74.779,74.886,74.837,74.789,74.818,74.721,74.750,74.760,74.615,74.576
,74.207,74.207,74.411,74.508,74.586,74.537,74.634,74.712,74.654,74.654,74.750,74.760,74.770,74.818,74.828,74.828,74.828,74.934,74.837,74.837,74.837,74.837,74.837,74.750,74.731,74.731,74.760
,74.595,74.644,74.634,74.576,74.702,74.770,74.712,74.721,74.779,74.789,74.799,74.799,74.799,74.799,74.905,74.973,74.983,74.886,74.847,74.847,74.847,74.847,74.741,74.731,74.731,74.837,74.905
,74.702,74.673,74.731,74.692,74.750,74.721,74.731,74.760,74.760,74.760,74.867,74.837,74.837,74.837,74.837,74.973,74.954,74.905,74.905,74.905,74.847,74.818,74.760,74.654,74.702,74.721,74.770
,74.721,74.731,74.741,74.741,74.731,74.731,74.731,74.731,74.731,74.731,74.867,74.867,74.867,74.867,74.867,74.867,74.954,74.847,74.876,74.837,74.828,74.779,74.741,74.673,74.673,74.566,74.605
,74.750,74.750,74.750,74.750,74.750,74.750,74.750,74.750,74.750,74.750,74.750,74.750,74.750,74.750,74.750,74.760,74.837,74.712,74.779,74.818,74.712,74.644,74.634,74.615,74.499,74.372,74.295
,74.605,74.528,74.654,74.683,74.712,74.712,74.712,74.712,74.712,74.712,74.712,74.712,74.605,74.634,74.557,74.615,74.683,74.586,74.663,74.586,74.528,74.402,74.324,74.305,74.139,73.945,73.770
,74.217,74.411,74.450,74.499,74.654,74.576,74.595,74.508,74.528,74.547,74.353,74.314,74.237,74.120,74.101,74.159,74.139,74.120,74.110,73.916,73.721,73.731,73.760,73.721,73.633,73.330,72.586
,73.096,73.672,74.052,74.091,74.159,74.198,74.071,74.003,74.052,73.925,73.750,73.701,73.594,73.203,73.056,73.066,72.890,72.605,72.222,71.768,71.134,70.846,71.015,71.273,71.461,70.746,68.327,

Frame 9,71.788,72.281,72.870,73.340,73.584,73.711,74.042,74.207,74.266,74.324,74.479,74.625,74.615,74.712,74.808,74.760,74.828,74.818,74.828,74.799,74.770,74.837,74.770,74.741,74.692,74.625,74.625
,74.130,74.178,74.431,74.469,74.576,74.537,74.654,74.760,74.654,74.654,74.760,74.779,74.770,74.828,74.847,74.944,74.857,74.857,74.857,74.857,74.857,74.857,74.770,74.663,74.770,74.692,74.760
,74.663,74.663,74.721,74.615,74.721,74.683,74.731,74.770,74.779,74.779,74.789,74.789,74.789,74.789,74.847,74.886,74.954,74.915,74.876,74.876,74.876,74.876,74.770,74.721,74.779,74.867,74.867
,74.615,74.663,74.673,74.770,74.770,74.770,74.770,74.770,74.770,74.770,74.876,74.828,74.828,74.828,74.828,74.886,74.934,74.934,74.934,74.876,74.876,74.876,74.770,74.663,74.654,74.750,74.857
,74.750,74.702,74.760,74.770,74.770,74.770,74.770,74.770,74.770,74.770,74.770,74.828,74.828,74.828,74.828,74.886,74.992,74.837,74.837,74.837,74.837,74.837,74.837,74.770,74.654,74.547,74.605
,74.673,74.721,74.731,74.731,74.731,74.731,74.731,74.731,74.731,74.731,74.837,74.847,74.741,74.789,74.741,74.818,74.760,74.750,74.799,74.799,74.692,74.634,74.634,74.566,74.499,74.402,74.295
,74.663,74.615,74.673,74.721,74.721,74.721,74.721,74.721,74.721,74.721,74.721,74.634,74.625,74.615,74.566,74.595,74.586,74.634,74.625,74.625,74.450,74.334,74.334,74.266,74.198,73.916,73.770
,74.217,74.382,74.460,74.557,74.605,74.547,74.595,74.537,74.586,74.528,74.411,74.295,74.334,74.159,74.091,74.149,74.071,74.042,74.071,73.945,73.731,73.799,73.779,73.779,73.672,73.350,72.595
,73.145,73.672,73.964,74.101,74.130,74.198,74.120,74.081,74.003,73.886,73.770,73.731,73.643,73.311,73.076,73.086,72.880,72.664,72.212,71.758,71.144,70.816,71.035,71.303,71.352,70.657,68.297,

Frame 10,71.738,72.340,72.821,73.291,73.643,73.770,73.994,74.130,74.275,74.421,74.557,74.605,74.615,74.731,74.741,74.779,74.799,74.789,74.799,74.867,74.828,74.779,74.741,74.702,74.702,74.683,74.595
,74.130,74.159,74.402,74.421,74.576,74.586,74.712,74.731,74.750,74.770,74.702,74.673,74.770,74.867,74.837,74.915,74.886,74.847,74.837,74.847,74.847,74.847,74.847,74.702,74.808,74.741,74.731
,74.566,74.576,74.721,74.625,74.731,74.741,74.741,74.741,74.741,74.847,74.867,74.847,74.799,74.847,74.876,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.789,74.683,74.750,74.847,74.905
,74.654,74.654,74.741,74.789,74.779,74.779,74.779,74.779,74.779,74.779,74.867,74.867,74.867,74.867,74.867,74.867,74.973,74.925,74.925,74.818,74.867,74.828,74.847,74.663,74.634,74.760,74.789
,74.654,74.692,74.721,74.721,74.721,74.721,74.721,74.721,74.721,74.721,74.867,74.867,74.867,74.867,74.867,74.867,74.973,74.867,74.867,74.818,74.818,74.818,74.818,74.770,74.634,74.528,74.557
,74.721,74.683,74.683,74.683,74.789,74.750,74.750,74.750,74.750,74.750,74.750,74.750,74.750,74.750,74.760,74.808,74.789,74.779,74.712,74.750,74.683,74.712,74.634,74.634,74.469,74.353,74.275
,74.654,74.605,74.654,74.692,74.760,74.654,74.702,74.702,74.595,74.644,74.692,74.634,74.683,74.625,74.683,74.673,74.615,74.605,74.595,74.625,74.508,74.421,74.305,74.295,74.178,73.906,73.867
,74.256,74.402,74.479,74.469,74.615,74.595,74.566,74.557,74.537,74.508,74.334,74.285,74.314,74.159,74.130,74.217,74.169,74.101,74.139,74.042,73.818,73.809,73.867,73.848,73.623,73.360,72.586
,73.105,73.623,74.042,74.130,74.188,74.120,74.149,74.071,74.101,73.857,73.809,73.731,73.614,73.350,73.115,73.086,72.910,72.605,72.251,71.788,71.263,70.866,71.025,71.273,71.352,70.707,68.246,

Frame 11,71.788,72.261,72.831,73.282,73.614,73.721,74.032,74.169,74.188,74.314,74.537,74.605,74.615,74.731,74.741,74.799,74.760,74.760,74.818,74.770,74.779,74.847,74.760,74.683,74.721,74.576,74.605
,74.139,74.159,74.382,74.489,74.557,74.566,74.692,74.644,74.673,74.692,74.712,74.702,74.818,74.808,74.925,74.915,74.837,74.847,74.837,74.837,74.837,74.837,74.837,74.683,74.789,74.731,74.799
,74.605,74.634,74.654,74.605,74.702,74.721,74.712,74.712,74.712,74.818,74.779,74.789,74.808,74.847,74.905,74.867,74.963,74.925,74.876,74.876,74.876,74.876,74.770,74.760,74.818,74.915,74.944
,74.634,74.634,74.741,74.692,74.712,74.712,74.712,74.818,74.712,74.789,74.896,74.857,74.925,74.818,74.847,74.896,74.934,74.934,74.876,74.876,74.876,74.876,74.770,74.683,74.663,74.770,74.799
,74.702,74.702,74.741,74.741,74.741,74.741,74.741,74.741,74.741,74.741,74.789,74.847,74.857,74.818,74.818,74.896,74.896,74.896,74.789,74.828,74.828,74.828,74.828,74.683,74.692,74.537,74.566
,74.721,74.721,74.721,74.721,74.721,74.721,74.721,74.721,74.721,74.721,74.721,74.721,74.721,74.721,74.818,74.770,74.808,74.712,74.702,74.779,74.673,74.712,74.605,74.595,74.499,74.382,74.305
,74.634,74.557,74.576,74.702,74.702,74.702,74.702,74.702,74.595,74.625,74.654,74.683,74.576,74.654,74.654,74.683,74.625,74.605,74.576,74.518,74.392,74.324,74.275,74.256,74.139,73.916,73.760
,74.324,74.421,74.402,74.431,74.557,74.586,74.508,74.508,74.499,74.440,74.382,74.305,74.266,74.139,74.188,74.188,74.130,74.071,74.042,73.935,73.828,73.770,73.818,73.789,73.575,73.360,72.605
,73.125,73.633,73.886,74.101,74.169,74.169,74.120,74.062,74.032,73.916,73.799,73.750,73.614,73.242,73.056,73.135,72.890,72.654,72.310,71.847,71.154,70.796,71.045,71.342,71.293,70.657,68.327,

Frame 12,71.837,72.291,72.841,73.282,73.496,73.701,74.003,74.159,74.246,74.334,74.518,74.576,74.673,74.663,74.760,74.837,74.857,74.867,74.837,74.808,74.779,74.750,74.799,74.750,74.702,74.586,74.557
,74.217,74.207,74.411,74.469,74.479,74.595,74.702,74.692,74.683,74.673,74.770,74.721,74.731,74.837,74.896,74.905,74.867,74.867,74.867,74.867,74.867,74.867,74.799,74.692,74.789,74.770,74.808
,74.615,74.625,74.712,74.615,74.731,74.673,74.712,74.712,74.712,74.712,74.876,74.799,74.808,74.876,74.876,74.876,74.876,74.876,74.876,74.876,74.876,74.876,74.799,74.731,74.770,74.876,74.934
,74.644,74.683,74.712,74.663,74.683,74.692,74.692,74.799,74.760,74.799,74.876,74.925,74.828,74.857,74.857,74.963,74.925,74.925,74.925,74.818,74.857,74.818,74.760,74.644,74.731,74.750,74.789
,74.721,74.779,74.731,74.731,74.731,74.731,74.731,74.731,74.731,74.731,74.876,74.886,74.837,74.837,74.837,74.857,74.905,74.905,74.799,74.789,74.789,74.789,74.789,74.644,74.615,74.576,74.499
